TableID,Frequency,Year,Quarter,Industry,IndustrYDescription,DataValue,NoteRef
6,A,2020,2020,11,Taxes on production and imports less subsidies,-34.9,6
6,A,2020,2020,11,Compensation of employees,60.7,6
6,A,2020,2020,11,"Agriculture, forestry, fishing, and hunting",162.9,6
6,A,2020,2020,11,Gross operating surplus,137.1,6
6,A,2020,2020,111CA,Taxes on production and imports less subsidies,-34.7,6
6,A,2020,2020,111CA,Compensation of employees,30.6,6
6,A,2020,2020,111CA,Farms,119.0,6
6,A,2020,2020,111CA,Gross operating surplus,123.1,6
6,A,2020,2020,113FF,Gross operating surplus,14.0,6
6,A,2020,2020,113FF,Taxes on production and imports less subsidies,-0.2,6
6,A,2020,2020,113FF,Compensation of employees,30.1,6
6,A,2020,2020,113FF,"Forestry, fishing, and related activities",43.9,6
6,A,2020,2020,21,Taxes on production and imports less subsidies,36.3,6
6,A,2020,2020,21,Compensation of employees,70.2,6
6,A,2020,2020,21,Mining,201.9,6
6,A,2020,2020,21,Gross operating surplus,95.5,6
6,A,2020,2020,211,Taxes on production and imports less subsidies,32.7,6
6,A,2020,2020,211,Compensation of employees,27.6,6
6,A,2020,2020,211,Oil and gas extraction,103.3,6
6,A,2020,2020,211,Gross operating surplus,42.9,6
6,A,2020,2020,212,Taxes on production and imports less subsidies,4.3,6
6,A,2020,2020,212,Compensation of employees,17.5,6
6,A,2020,2020,212,"Mining, except oil and gas",57.2,6
6,A,2020,2020,212,Gross operating surplus,35.4,6
6,A,2020,2020,213,Gross operating surplus,17.1,6
6,A,2020,2020,213,Taxes on production and imports less subsidies,-0.7,6
6,A,2020,2020,213,Compensation of employees,25.0,6
6,A,2020,2020,213,Support activities for mining,41.4,6
6,A,2020,2020,22,Taxes on production and imports less subsidies,66.2,6
6,A,2020,2020,22,Compensation of employees,93.5,6
6,A,2020,2020,22,Utilities,345.7,6
6,A,2020,2020,22,Gross operating surplus,186.0,6
6,A,2020,2020,23,Gross operating surplus,414.4,6
6,A,2020,2020,23,Construction,957.8,6
6,A,2020,2020,23,Compensation of employees,597.8,6
6,A,2020,2020,23,Taxes on production and imports less subsidies,-54.4,6
6,A,2020,2020,311FT,Taxes on production and imports less subsidies,21.4,6
6,A,2020,2020,311FT,Compensation of employees,127.6,6
6,A,2020,2020,311FT,Food and beverage and tobacco products,289.2,6
6,A,2020,2020,311FT,Gross operating surplus,140.2,6
6,A,2020,2020,313TT,Taxes on production and imports less subsidies,-0.4,6
6,A,2020,2020,313TT,Compensation of employees,11.5,6
6,A,2020,2020,313TT,Textile mills and textile product mills,15.9,6
6,A,2020,2020,313TT,Gross operating surplus,4.7,6
6,A,2020,2020,315AL,Taxes on production and imports less subsidies,-0.8,6
6,A,2020,2020,315AL,Compensation of employees,6.7,6
6,A,2020,2020,315AL,Apparel and leather and allied products,9.5,6
6,A,2020,2020,315AL,Gross operating surplus,3.5,6
6,A,2020,2020,31G,Taxes on production and imports less subsidies,32.9,6
6,A,2020,2020,31G,Compensation of employees,1115.1,6
6,A,2020,2020,31G,Manufacturing,2149.5,6
6,A,2020,2020,31G,Gross operating surplus,1001.6,6
6,A,2020,2020,31ND,Taxes on production and imports less subsidies,38.5,6
6,A,2020,2020,31ND,Gross operating surplus,523.8,6
6,A,2020,2020,31ND,Nondurable goods,949.3,6
6,A,2020,2020,31ND,Compensation of employees,387.1,6
6,A,2020,2020,321,Taxes on production and imports less subsidies,-1.1,6
6,A,2020,2020,321,Gross operating surplus,18.6,6
6,A,2020,2020,321,Wood products,42.9,6
6,A,2020,2020,321,Compensation of employees,25.4,6
6,A,2020,2020,322,Gross operating surplus,32.1,6
6,A,2020,2020,322,Paper products,65.0,6
6,A,2020,2020,322,Compensation of employees,32.0,6
6,A,2020,2020,322,Taxes on production and imports less subsidies,1.0,6
6,A,2020,2020,323,Gross operating surplus,13.8,6
6,A,2020,2020,323,Printing and related support activities,36.5,6
