symbol,sector,industry
A,Industrials,Biotechnology: Laboratory Analytical Instruments
AA,Industrials,Aluminum
AACBU,Finance,Blank Checks
AACG,Real Estate,Other Consumer Services
AACI,Finance,Blank Checks
AACIW,Finance,Blank Checks
AACT,Finance,Blank Checks
AAL,Consumer Discretionary,Air Freight/Delivery Services
AAME,Finance,Life Insurance
AAMI,Finance,Investment Managers
AAOI,Technology,Semiconductors
AAON,Industrials,Industrial Machinery/Components
AAP,Consumer Discretionary,Auto & Home Supply Stores
AAPG,Health Care,Biotechnology: Pharmaceutical Preparations
AAPL,Technology,Computer Manufacturing
AARD,Health Care,Biotechnology: Pharmaceutical Preparations
AAT,Real Estate,Real Estate Investment Trusts
AB,Finance,Investment Managers
ABAT,Basic Materials,Metal Mining
ABBV,Health Care,Biotechnology: Pharmaceutical Preparations
ABCB,Finance,Major Banks
ABCL,Health Care,Biotechnology: Pharmaceutical Preparations
ABEO,Health Care,Biotechnology: Pharmaceutical Preparations
ABEV,Consumer Staples,Beverages (Production/Distribution)
ABG,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ABL,Finance,Investment Managers
ABLLL,Finance,Investment Managers
ABLV,Consumer Discretionary,Other Consumer Services
ABLVW,Consumer Discretionary,Other Consumer Services
ABM,Consumer Discretionary,Diversified Commercial Services
ABNB,Consumer Discretionary,Diversified Commercial Services
ABOS,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABP,Health Care,Biotechnology: Pharmaceutical Preparations
ABPWW,Health Care,Biotechnology: Pharmaceutical Preparations
ABR,Real Estate,Real Estate Investment Trusts
ABSI,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ABT,Health Care,Biotechnology: Pharmaceutical Preparations
ABTC,Technology,EDP Services
ABTS,Technology,Computer Software: Programming Data Processing
ABUS,Health Care,Biotechnology: Pharmaceutical Preparations
ABVC,Health Care,Biotechnology: Pharmaceutical Preparations
ABVE,Consumer Staples,Packaged Foods
ABVEW,Consumer Staples,Packaged Foods
ABVX,Health Care,Biotechnology: Pharmaceutical Preparations
ACA,Industrials,Metal Fabrications
ACAD,Health Care,Biotechnology: Pharmaceutical Preparations
ACB,Health Care,Medicinal Chemicals and Botanical Products
ACCO,Consumer Discretionary,Publishing
ACCS,Consumer Discretionary,Publishing
ACDC,Energy,Oilfield Services/Equipment
ACEL,Consumer Discretionary,Services-Misc. Amusement & Recreation
ACET,Health Care,Biotechnology: Pharmaceutical Preparations
ACFN,Consumer Discretionary,Military/Government/Technical
ACGL,Finance,Property-Casualty Insurers
ACGLN,Finance,Property-Casualty Insurers
ACGLO,Finance,Property-Casualty Insurers
ACHC,Health Care,Medical Specialities
ACHR,Industrials,Aerospace
ACHV,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACI,Consumer Staples,Food Chains
ACIC,Finance,Property-Casualty Insurers
ACIU,Health Care,Biotechnology: Pharmaceutical Preparations
ACIW,Technology,Computer Software: Prepackaged Software
ACLS,Technology,Industrial Machinery/Components
ACLX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACM,Consumer Discretionary,Military/Government/Technical
ACMR,Technology,Industrial Machinery/Components
ACN,Real Estate,Real Estate
ACNB,Finance,Major Banks
ACNT,Industrials,Steel/Iron Ore
ACON,Health Care,Medical Specialities
ACONW,Health Care,Medical Specialities
ACP,Finance,Investment Managers
ACR,Real Estate,Real Estate Investment Trusts
ACRE,Real Estate,Real Estate Investment Trusts
ACRS,Health Care,Biotechnology: Pharmaceutical Preparations
ACRV,Health Care,Biotechnology: Pharmaceutical Preparations
ACT,Finance,Specialty Insurers
ACTG,Miscellaneous,Multi-Sector Companies
ACTU,Health Care,Biotechnology: Pharmaceutical Preparations
ACU,Consumer Discretionary,Industrial Machinery/Components
ACV,Finance,Finance/Investors Services
ACVA,Real Estate,Real Estate
ACXP,Health Care,Biotechnology: Pharmaceutical Preparations
AD,Telecommunications,Telecommunications Equipment
ADAG,Health Care,Biotechnology: Pharmaceutical Preparations
ADAM,Technology,Computer Software: Prepackaged Software
ADAMG,Real Estate,Real Estate Investment Trusts
ADAMH,Real Estate,Real Estate Investment Trusts
ADAMI,Real Estate,Real Estate Investment Trusts
ADAML,Real Estate,Real Estate Investment Trusts
ADAMM,Real Estate,Real Estate Investment Trusts
ADAMN,Real Estate,Real Estate Investment Trusts
ADAMZ,Real Estate,Real Estate Investment Trusts
ADAP,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Technology,Computer Software: Prepackaged Software
ADC,Real Estate,Real Estate Investment Trusts
ADCT,Health Care,Biotechnology: Pharmaceutical Preparations
ADEA,Technology,Computer Software: Prepackaged Software
ADGM,Health Care,Medical/Dental Instruments
ADI,Technology,Semiconductors
ADIL,Health Care,Biotechnology: Pharmaceutical Preparations
ADM,Consumer Staples,Packaged Foods
ADMA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADN,Miscellaneous,Industrial Machinery/Components
ADNT,Consumer Discretionary,Auto Parts:O.E.M.
ADNWW,Miscellaneous,Industrial Machinery/Components
ADP,Industrials,Diversified Commercial Services
ADPT,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADSE,Consumer Discretionary,Industrial Specialties
ADSEW,Consumer Discretionary,Industrial Specialties
ADSK,Technology,Computer Software: Prepackaged Software
ADT,Consumer Discretionary,Diversified Commercial Services
ADTN,Utilities,Telecommunications Equipment
ADTX,Health Care,Biotechnology: Pharmaceutical Preparations
ADUR,Industrials,Major Chemicals
ADUS,Health Care,Medical/Nursing Services
ADV,Real Estate,Real Estate
ADVB,Health Care,Medical Specialities
ADVM,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADVWW,Real Estate,Real Estate
ADX,Finance,Investment Managers
ADXN,Health Care,Biotechnology: Pharmaceutical Preparations
AEBI,Industrials,Auto Manufacturing
AEE,Utilities,Power Generation
AEF,Finance,Finance/Investors Services
AEG,Finance,Life Insurance
AEHL,Industrials,Building Materials
AEHR,Industrials,Electrical Products
AEI,Finance,Real Estate
AEIS,Technology,Industrial Machinery/Components
AEM,Basic Materials,Precious Metals
AEMD,Health Care,Medical/Dental Instruments
AENT,Consumer Discretionary,Durable Goods
AENTW,Consumer Discretionary,Durable Goods
AEO,Consumer Discretionary,Clothing/Shoe/Accessory Stores
AEON,Health Care,Biotechnology: Pharmaceutical Preparations
AEP,Utilities,Electric Utilities: Central
AER,Consumer Discretionary,Diversified Commercial Services
AERT,Consumer Discretionary,Professional Services
AERTW,Consumer Discretionary,Professional Services
AES,Utilities,Electric Utilities: Central
AESI,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
AEVA,Consumer Discretionary,Auto Parts:O.E.M.
AEVAW,Consumer Discretionary,Auto Parts:O.E.M.
AEYE,Technology,Computer Software: Prepackaged Software
AFB,Finance,Trusts Except Educational Religious and Charitable
AFBI,Finance,Banks
AFCG,Finance,Real Estate
AFG,Finance,Property-Casualty Insurers
AFGB,Finance,Property-Casualty Insurers
AFGC,Finance,Property-Casualty Insurers
AFGD,Finance,Property-Casualty Insurers
AFGE,Finance,Property-Casualty Insurers
AFL,Finance,Accident &Health Insurance
AFRI,Consumer Staples,Packaged Foods
AFRM,Finance,Finance: Consumer Services
AFYA,Real Estate,Other Consumer Services
AG,Basic Materials,Precious Metals
AGAE,Consumer Discretionary,Services-Misc. Amusement & Recreation
AGCO,Industrials,Industrial Machinery/Components
AGD,Finance,Trusts Except Educational Religious and Charitable
AGEN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGH,Consumer Discretionary,Hotels/Resorts
AGI,Basic Materials,Precious Metals
AGIO,Health Care,Biotechnology: Pharmaceutical Preparations
AGL,Health Care,Misc Health and Biotechnology Services
AGM,Finance,Finance Companies
AGMH,Technology,EDP Services
AGNC,Real Estate,Real Estate Investment Trusts
AGNCL,Real Estate,Real Estate Investment Trusts
AGNCM,Real Estate,Real Estate Investment Trusts
AGNCN,Real Estate,Real Estate Investment Trusts
AGNCO,Real Estate,Real Estate Investment Trusts
AGNCP,Real Estate,Real Estate Investment Trusts
AGO,Finance,Property-Casualty Insurers
AGRI,Industrials,Metal Fabrications
AGRO,Consumer Staples,Farming/Seeds/Milling
